tgs2600,mq2,mq3,mq9,mq135,polymer
46,344,496,396,165,1
42,368,523,413,183,1
46,382,526,412,188,1
46,367,522,411,184,1
46,392,537,420,196,1
46,378,526,418,191,1
46,423,546,429,199,1
46,427,560,436,221,1
46,413,549,434,205,1
46,442,558,440,213,1
46,466,564,447,214,1
46,459,564,451,221,1
46,455,560,451,212,1
46,434,561,445,216,1
47,442,549,446,196,1
46,419,544,444,208,1
47,385,523,434,182,1
47,384,529,430,183,1
47,371,519,426,174,1
47,349,507,420,166,1
47,353,509,420,174,1
46,342,501,417,165,1
47,345,505,416,167,1
47,380,525,420,187,1
46,376,519,418,174,1
47,351,508,415,167,1
46,356,519,413,176,1
47,348,507,412,165,1
47,335,498,409,159,1
47,360,526,413,183,1
47,370,515,415,171,1
47,363,509,415,168,1
47,447,562,444,218,1
47,396,524,431,179,1
47,435,560,436,220,1
47,432,538,437,194,1
47,405,540,433,209,1
47,374,527,432,189,1
47,366,542,423,185,1
47,423,558,434,205,1
47,448,553,442,199,1
47,418,536,439,193,1
47,377,519,430,175,1
47,364,515,425,171,1
47,436,544,442,207,1
47,563,607,478,262,1
47,552,596,489,245,1
47,467,558,466,202,1
47,528,595,482,240,1
47,511,572,485,236,1
47,428,540,461,196,1
47,499,581,476,236,1
47,446,554,462,207,1
47,412,539,455,191,1
47,381,537,444,188,1
47,476,582,460,230,1
47,452,561,458,211,1
47,402,540,448,187,1
47,374,527,439,175,1
47,436,562,451,211,1
47,438,559,454,215,1
47,392,541,444,194,1
47,426,558,447,207,1
47,409,540,444,192,1
47,405,541,443,191,1
47,358,514,432,170,1
47,388,532,436,188,1
47,446,554,451,211,1
47,413,534,446,186,1
46,367,516,436,171,1
47,346,508,427,167,1
47,410,545,437,197,1
47,421,549,443,205,1
47,422,552,446,208,1
47,442,558,452,213,1
47,433,547,451,200,1
47,375,521,438,179,1
47,345,507,428,167,1
47,329,499,422,162,1
47,315,491,417,156,1
47,400,522,429,183,1
47,364,509,427,177,1
47,371,514,425,175,1
47,391,530,433,188,1
47,365,511,427,173,1
47,361,512,425,182,1
47,412,545,439,209,1
47,428,535,440,189,1
47,422,531,439,186,1
47,378,507,431,168,1
47,333,491,421,157,1
47,309,481,414,151,1
47,299,476,410,148,1
47,292,476,406,148,1
47,294,477,404,147,1
47,313,487,406,153,1
47,301,480,403,148,1
47,289,474,401,146,1
47,351,507,410,172,1
47,366,513,416,175,1
47,377,530,422,191,1
47,331,499,413,163,1
47,300,482,406,152,1
47,282,473,402,147,1
47,286,477,400,150,1
47,354,507,412,167,1
47,343,498,411,162,1
47,393,536,426,195,1
47,401,529,430,200,1
47,395,523,434,187,1
47,339,498,422,165,1
47,319,491,415,159,1
47,302,482,409,153,1
47,293,478,405,151,1
47,301,485,405,155,1
47,328,504,408,170,1
47,374,516,419,177,1
47,353,508,416,170,1
47,336,502,413,170,1
47,364,521,418,182,1
47,417,549,432,205,1
47,401,523,433,182,1
47,369,516,425,178,1
47,381,540,429,198,1
47,404,549,434,204,1
47,382,527,425,179,1
47,432,553,441,207,1
47,405,536,435,196,1
